Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
,,,,Less repayment of Subhordinated-Debt,-68713906.85880601,-109323907.90770292,-94520545.73441145,-50955048.37204624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,EBITDA,0,0,0,0,25931853.20665886,24010975.191350795,22129965.60291465,21710092.097016133,20283643.941653628,19634658.532114264,18270807.368663732,17144614.782280367,15968553.838040888,14589978.132718686,13673933.553231318,12714643.1433109,11567808.687598165,10830597.327122783,10042398.12425482,9092727.130819637,8500453.83758597,7862304.989774326,7065943.92690472,6597448.5483058235,6080233.476962481,5423684.126832495,5042934.565646099,4630401.216693651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less Working Capital Change,0,0,0,0,-138063.14280714412,-256292.5901878216,-219579.82284931288,-218567.86608030027,-234997.9023371685,-204195.5491542753,-198377.01392232452,-216331.54735114632,-180915.6120950394,-131957.3615478887,-190776.08470978774,-159280.3499619589,-115779.09789644291,-168219.43620938013,-140210.1441575769,-101558.07151726454,-148311.70579939111,-123403.0744469371,-89060.01766813226,-130743.62193897339,-108592.5406634604,-78078.46584122503,-115241.84115765065,-95543.1525496984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Add Interest Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less Taxes,0,0,0,0,-1505860.7163704683,-1495717.5325635048,-1462008.711750976,-1512388.5249325961,-1508507.8898404262,-1540499.5333014543,-1508350.1444332288,-1505832.895978758,-1477721.5861771854,-1393634.0059134315,-1386745.3937151544,-1357970.3499015644,-1259763.312737862,-1176637.3764275883,-1079388.4614735292,-946159.3572649274,-880948.9187857385,-803313.7221506815,-690984.7705413348,-641363.874131015,-579308.8216552663,-486860.88758506265,-447201.0560574484,-398957.3728488038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Subtotal Cashflow Available For Debt Service,0,0,0,0,24287929.347481247,22258965.06859947,20448377.068314362,19979135.706003238,18540138.149476033,17889963.449658535,16564080.21030818,15422450.33895046,14309916.639768666,13064386.765257366,12096412.074806375,11197392.443447378,10192266.27696386,9485740.514485816,8822799.518623713,8045009.702037444,7471193.213000841,6935588.193176707,6285899.138695253,5825341.052235834,5392332.114643754,4858744.773406207,4480491.668431,4135900.6912951483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less Senior Debt Repayment,0,0,0,0,-10888295.639175717,-10411951.338833598,-10004096.967775395,-10207832.158795444,-9919994.16637618,-10017292.350831028,-9700752.783397032,-9466948.873877106,-9206063.346399356,-8792397.238019325,-8540948.372320645,-8300064.020811677,3.305009183730403e-09,3.260399317987563e-09,3.216391580714256e-09,3.1729778445895924e-09,3.1301500919924326e-09,3.087900413520704e-09,3.046221006530695e-09,3.005104173696067e-09,2.964542321586319e-09,2.9245279592644375e-09,2.885053696903475e-09,2.8461122444217964e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less Senior Debt Interest,0,0,0,0,-7794726.935809857,-6710329.483165994,-5725423.854004882,-5160733.76889935,-4341650.563989999,-3744217.9950601542,-3040847.378378491,-2396474.463777093,-1801564.8380380766,-1257131.0429478805,-763983.9929150298,-313314.78184015246,-3.305009183730403e-09,-3.260399317987563e-09,-3.216391580714256e-09,-3.1729778445895924e-09,-3.1301500919924326e-09,-3.087900413520704e-09,-3.046221006530695e-09,-3.005104173696067e-09,-2.964542321586319e-09,-2.9245279592644375e-09,-2.885053696903475e-09,-2.8461122444217964e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Add Withdrawals from Debt Service Reserve Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less Contributions/Top Up to Debt Service Reserve Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less Cash Trapped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less Interest on the Subhordinated-Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Less repayment of Subhordinated-Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Equity Cashflows,-68713906.85880601,-90938494.65498856,0,0,5604906.772495675,5136684.246599877,4718856.246534084,4610569.77830844,4278493.419109854,4128453.103767354,3822480.0485326573,3559027.0012962613,3302288.4553312305,3014858.484290162,2791479.7095707026,2584013.640795549,10192266.27696386,9485740.514485816,8822799.518623713,8045009.702037444,7471193.213000841,6935588.193176707,6285899.138695253,5825341.052235834,5392332.114643754,4858744.773406207,4480491.668431,4135900.6912951483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NPV,-30168983.750167117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dynamic input assumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fixed input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Explanations/methods/units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VBA OUTPUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Warning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Column Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Row Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
