Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124
,,,Less: Depreciation,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,6868000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,EBIT,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,10772000,10771999.999999985,10772000.000000007,10771999.999999978,10691688.854140341,10689785.328758866,10565859.605625615,10559804.13640365,10560642.70759502,10554433.989585698,10440601.366393462,10430866.378585279,10286166.105280131,10274650.927158028,10276616.387735158,10262064.265497088,10140568.278854474,10122019.680629566,9689200.369944409,9657392.631081507,9655644.434083894,9629184.70509255,9500692.9259087,9463347.693877906,9000199.452829182,8948151.994040549,8955359.61048165,8901994.960629761,8755033.014127657,8707227.098646834,8211644.806982517,8136433.191541091,8146848.6179353,8069733.584536061,7926164.05012469,7842566.305696413,7293126.017205283,7210670.153150648,7224744.0778814405,7120541.798051536,6968863.082069457,6857144.179894164,6289790.990100637,6158124.031820729,6150887.435024813,6041358.365756065,5881172.23536244,5737501.912577763,5130493.102159664,4964771.233386189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Net Operating Loss Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Opening Balance,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Add Negative Taxable Income,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Less Net Operating Loss Used,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Closing Balance,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Adjusted EBT for net operating loss,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,10772000,10771999.999999985,10772000.000000007,10771999.999999978,10691688.854140341,10689785.328758866,10565859.605625615,10559804.13640365,10560642.70759502,10554433.989585698,10440601.366393462,10430866.378585279,10286166.105280131,10274650.927158028,10276616.387735158,10262064.265497088,10140568.278854474,10122019.680629566,9689200.369944409,9657392.631081507,9655644.434083894,9629184.70509255,9500692.9259087,9463347.693877906,9000199.452829182,8948151.994040549,8955359.61048165,8901994.960629761,8755033.014127657,8707227.098646834,8211644.806982517,8136433.191541091,8146848.6179353,8069733.584536061,7926164.05012469,7842566.305696413,7293126.017205283,7210670.153150648,7224744.0778814405,7120541.798051536,6968863.082069457,6857144.179894164,6289790.990100637,6158124.031820729,6150887.435024813,6041358.365756065,5881172.23536244,5737501.912577763,5130493.102159664,4964771.233386189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,EBIT * Tax Rate adjusted for Net Operating Loss,,0.2,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2154400,2154399.999999997,2154400.0000000014,2154399.999999996,2138337.7708280683,2137957.0657517733,2113171.921125123,2111960.82728073,2112128.5415190044,2110886.7979171397,2088120.2732786925,2086173.275717056,2057233.2210560264,2054930.1854316057,2055323.2775470316,2052412.8530994179,2028113.655770895,2024403.9361259134,1937840.073988882,1931478.5262163014,1931128.886816779,1925836.94101851,1900138.58518174,1892669.5387755812,1800039.8905658366,1789630.3988081098,1791071.92209633,1780398.9921259524,1751006.6028255315,1741445.419729367,1642328.9613965035,1627286.6383082182,1629369.72358706,1613946.7169072123,1585232.810024938,1568513.2611392827,1458625.2034410567,1442134.0306301296,1444948.8155762882,1424108.3596103073,1393772.6164138913,1371428.835978833,1257958.1980201276,1231624.8063641458,1230177.4870049625,1208271.673151213,1176234.447072488,1147500.3825155527,1026098.6204319329,992954.2466772378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Less: Working Capital,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,181997.39518849552,5835.986383527517,366071.42144624144,10506.477192521095,243156.14169497788,105289.4410211891,331792.5763825476,19179.654322616756,379582.7806155905,24187.367469623685,331258.8016387075,28650.227054946125,248651.09002900124,123729.83505285531,393847.9735632688,38631.54229867458,341778.9494693801,43407.80027900636,252095.47318772227,47116.1942916289,317408.30329184234,143291.93870650232,351734.45646980405,57909.279102124274,255280.68122819066,61839.50350353867,422778.71125292033,67925.1837765947,271796.1593955159,163788.29899322987,258523.3047586903,77490.40168469399,438626.2784499377,83971.53155200183,373379.02155937254,89713.47375486791,171351.1383843869,184586.691280514,455469.3865415901,101025.90057452023,385126.1904027313,107129.31355147064,265138.9124711603,111800.42743515968,382905.16521050036,209610.7092617452,397530.3950315118,125634.96075472236,268486.030192703,130580.09412944317,-33013691.174743608,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Less Capital Expenditures,,,,,,,9107391.780821197,6942385.4084273735,7731112.2956116,8298969.006258302,8728455.218421407,9060908.575398976,9320744.33990409,9523940.233963067,9681701.507494077,9802277.997454377,9891959.413598185,9955664.177556388,9997310.26219133,10020061.291841287,10026497.327180227,10018738.024663262,9998534.420975449,9967339.26633859,9926362.183083538,9876613.747019479,9818941.246800119,9754058.026685009,9682567.766702482,9604984.688204832,9521750.424519174,9433248.12436164,9339814.233924437,9241748.315489935,9139321.195320394,9032781.68433569,8922362.0770008,8808282.603709728,8690754.987595188,8569985.236610271,8446175.784871925,8319527.082887336,8190238.723876761,8058510.182579806,7924541.233407607,7788532.106373804,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Less Value-Added Tax Payments,,,,,,,570739.1780821198,694238.5408427374,773111.2295611601,829896.9006258303,872845.5218421407,906090.8575398977,932074.4339904091,952394.0233963067,968170.1507494077,980227.7997454377,989195.9413598186,995566.4177556388,999731.0262191329,1002006.1291841287,1002649.7327180228,1001873.8024663263,999853.4420975449,996733.926633859,992636.2183083537,987661.3747019479,981894.124680012,975405.8026685009,968256.7766702482,960498.4688204833,952175.0424519174,943324.812436164,933981.4233924438,924174.8315489935,913932.1195320393,903278.168433569,892236.2077000801,880828.2603709726,869075.4987595186,856998.5236610272,844617.5784871925,831952.7082887335,819023.8723876762,805851.0182579807,792454.1233407608,778853.2106373805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Add Value-Added Tax Refunds,,,,,,,False,False,570739.1780821198,694238.5408427374,773111.2295611601,829896.9006258303,872845.5218421407,906090.8575398977,932074.4339904091,952394.0233963067,968170.1507494077,980227.7997454377,989195.9413598186,995566.4177556388,999731.0262191329,1002006.1291841287,1002649.7327180228,1001873.8024663263,999853.4420975449,996733.926633859,992636.2183083537,987661.3747019479,981894.124680012,975405.8026685009,968256.7766702482,960498.4688204833,952175.0424519174,943324.812436164,933981.4233924438,924174.8315489935,913932.1195320393,903278.168433569,892236.2077000801,880828.2603709726,869075.4987595186,856998.5236610272,844617.5784871925,831952.7082887335,819023.8723876762,805851.0182579807,1571307.3339781412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Free Cashflow,,,,,,,-9678130.958903316,-7636623.949270111,-7933484.347090641,-8434627.366041394,-8828189.510702388,-9137102.532313043,-9379973.25205236,-9570243.399819477,-9717797.224253075,-9830111.77380351,-9912985.204208596,-9971002.795566589,-10007845.347050644,-10026501.003269777,-10029416.033679117,-10018605.697945459,-9995738.13035497,-9962199.390506124,-9919144.959294347,-9867541.195087569,-9808199.153171778,-9741802.45465156,-9668930.41869272,-9590077.354356814,-9505668.690300845,-9416074.46797732,-9321620.614864962,-9222598.334602766,-9119271.89145999,-9011885.021220267,-8900666.16516884,-8785832.695647132,-8667594.278654628,-8546155.499900326,-8421717.864599599,-8294481.267515043,-8164645.017777245,-8032408.492549053,-7897971.484360692,-7761534.298753204,16874909.938789647,15479764.013616461,15119528.578553764,15475093.52280746,15178194.941617295,15314538.821985904,14988895.108117944,15296663.654800303,14936931.385460425,15287359.824198935,14889222.291476062,15184042.875813277,14848281.794195104,14963990.906673567,14695445.136624858,15039019.870098997,14638675.6736142,14922207.944224646,14367264.822767805,14546797.910573576,14275107.243975272,14428055.825367536,14116819.884257156,14380768.8760002,13812878.881035155,13964682.0917289,13609508.977132399,13921670.784727214,13600230.25190661,13669993.379924238,13178792.540827323,13299656.151548179,12946852.615898302,13239815.336076846,12835552.21854038,13052339.570802262,12531149.675379839,12451949.431240004,12192325.875763562,12463407.537866708,12057964.275252834,12246586.030363861,11634693.87960935,11682698.798021425,11405804.78280935,11491475.983343106,11175407.393258441,11332366.569307487,10703908.451535027,10709236.892579507,33013691.174743608,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,After tax Project Internal Rate of Return,0.05531419217586517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Real/inflation-adjusted Free Cash Flow,,,,,,,-9662173.094484549,-7611461.293025148,-7894305.449327658,-8379134.789962434,-8755646.972199192,-9047079.622295706,-9272243.604542455,-9444729.747329477,-9574535.28129344,-9669224.554124143,-9734664.024723602,-9775492.936829986,-9795435.12784245,-9797513.439496994,-9784202.489876833,-9757541.088317337,-9719217.32570191,-9670634.557993487,-9612963.614797328,-9547184.78901872,-9474122.043853631,-9394471.150644861,-9308822.99440772,-9217682.962665135,-9121487.112348072,-9020615.654417654,-8915404.184636822,-8806153.00740763,-8693134.838519854,-8576601.125864603,-8456787.190510193,-8333916.361197934,-8208203.25135494,-8079856.307792895,-7949079.743419582,-7816074.951861493,-7681041.489396577,-7544177.698672932,-7405681.039078821,-7265748.180134118,15641346.558185585,14206821.52720236,13739494.462568568,13924054.022912988,13522358.879079515,13509403.350581579,13091872.89000321,13229054.060720706,12790672.345052801,12961772.35716651,12499822.038565319,12621737.730440335,12221030.991577523,12194921.079220744,11858075.695286458,12015750.9967123,11580654.093610821,11688648.603778444,11143079.422436308,11171164.542427214,10854512.84539834,10862722.50721423,10523680.615121284,10614824.20568267,10095197.445815897,10105587.836395375,9751533.081386803,9876924.08187247,9553808.486922348,9508203.947489396,9076234.74676922,9069230.199246444,8741664.426245201,8851395.952230934,8496583.168371992,8554960.979255728,8132433.122835588,8001415.913402081,7757396.205130255,7851743.825915844,7521478.743813138,7563872.359184224,7115149.4880064465,7074115.754441373,6838405.192537878,6821888.612851831,6568891.4979851935,6595523.206520741,6168377.418784651,6110644.130715825,18651873.667753834,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Real/inflation-adjusted Project Internal Rate of Return,0.033862641453742987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Structuring Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gearing Switch,False,,Gearing is TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Target Debt Ratio,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Target Debt Service Coverage Ratio,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tenor,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Repayment Commencement of Operations Datee,3,,1 Level; 2 Annuity; 3 Sculpted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Up Front Fee,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Commitment Fee - Periodic,0.000625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interest and Fee Capitalisation (TRUE = Capitalise),True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fee Amortisation Period,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Draw Commencement of Operations Datee (1-pro Rata; 2-Equity First; 3 - Debt),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Debt Service Reserve Account (Debt Service Reserve Account) Months,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Months per Period,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Value-Added Tax Interest Rate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Subhordinated Debt Percent,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Subhordinated Debt Interest Rate,0.006666666666666667,0.035,,,,,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Subhordinated Debt Maturities,28,2033-09-01 00:00:00,2047-08-31 00:00:00,0.9999999999999997,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Development Fee,6800000,2029-08-01 00:00:00,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6800000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Periodic Interest Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interst Rate,,0.05,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,,,Total Annual Interest Rate,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
